,Artist,Track,Spotify_ID,danceability,energy,acousticness,instrumentalness,liveness,valence,tempo,key,loudness,mode,duration_ms,time_signature
0,Adele,Hello,62PaSfnXSMyLshYJrlTuL3,0.578,0.43,0.33,0,0.0854,0.288,78.991,5,-6.134,0,295502,4
1,Justin Bieber,Sorry,402qo6bnZJwCN1RUenyNuM,0.679,0.748,0.0878,0,0.299,0.438,100.035,0,-3.624,0,200787,4
2,Drake,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,0.00258,0.00019,0.0504,0.552,134.966,2,-7.863,1,267067,4
3,Justin Bieber,Love Yourself,3dNcOt7h5DuBgahMkOrL1m,0.759,0.401,0.86,0,0.299,0.576,100.126,4,-8.999,1,232627,4
4,Justin Bieber,What Do You Mean?,4Vx8DGMNlFt6q3yxVoV8qK,0.832,0.631,0.585,0.000892,0.0838,0.836,125.038,5,-6.19,0,208543,4
5,Selena Gomez,Same Old Love,4osBVEN7mpxF82Bwfy44MS,0.672,0.593,0.0223,0,0.214,0.438,98.02,11,-4.01,0,229080,4
6,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0.0671,0,0.135,0.137,113.003,0,-7.063,0,242253,4
7,Alessia Cara,Here,1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0.0785,0,0.0823,0.331,120.462,0,-3.974,1,199453,4
8,Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT,0.752,0.754,0.0151,0,0.0486,0.755,149.789,1,-6.684,1,206880,4
9,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0.4,0,0.177,0.417,108.038,0,-7.259,1,225053,3
10,Fetty Wap Featuring Remy Boyz,679,5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,0.00256,0,0.625,0.603,190.05,7,-5.738,1,196693,4
11,The Weeknd,In The Night,25KybV9BOUlvcnv7nN3Pyo,0.505,0.68,0.0796,0,0.0465,0.539,168.022,7,-4.993,1,235653,3
12,Drake & Future,Jumpman,27GmP9AWRs744SzKcpJsTZ,0.852,0.553,0.0559,0,0.332,0.656,142.079,1,-7.286,1,205879,4
13,Ellie Goulding,On My Mind,5a7NdkF09AfD0H607eiOkX,0.702,0.705,0.258,5.93e-06,0.0879,0.743,154.911,0,-6.666,1,213445,4
14,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,0.705,0.769,0.113,0,0.105,0.583,107.949,9,-5.526,0,213520,4
15,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,0.00767,0.000148,0.124,0.131,131.05,1,-5.046,1,262693,4
16,Elle King,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,0.0183,0,0.0576,0.446,139.988,7,-2.882,1,202173,4
17,Mariah Carey,All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,0.164,0,0.0708,0.35,150.273,7,-7.463,1,241107,4
18,twenty one pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,0.0462,2.29e-05,0.0602,0.648,169.977,4,-5.677,0,202333,4
19,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,0.765,0.356,0.223,0,0.0963,0.189,96.991,11,-5.556,0,198293,4
20,Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,0.595,0.389,0.418,1.39e-06,0.116,0.4,166.052,2,-9.245,1,227427,4
21,Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,0.675,0.562,0.233,0,0.0816,0.309,130.098,7,-7.678,1,256533,4
22,Taylor Swift,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,0.553,0.664,0.0709,0.0056,0.106,0.467,140.06,8,-7.417,1,220440,4
23,Jordan Smith,Mary Did You Know,0Mfbc7b4veAMEiWOffph5q,0.522,0.41,0.787,0,0.124,0.459,103.102,6,-4.998,0,199760,4
24,Major Lazer & DJ Snake Featuring MO,Lean On,1Lim1Py7xBgbAkAys3AGAG,0.723,0.809,0.00346,0.00123,0.565,0.274,98.007,7,-3.081,0,176561,4
25,The Chainsmokers Featuring Rozes,Roses,3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,0.0435,0.00377,0.309,0.343,100.001,4,-7.055,1,226739,4
26,Silento,Watch Me,5RIVoVdkDLEygELLCniZFr,0.821,0.759,0.247,0,0.321,0.962,140.01,8,-8.541,1,185143,4
27,Tory Lanez,Say It,2Gyc6e2cLxA5hoX1NOvYnU,0.546,0.529,0.0862,6.5e-06,0.124,0.247,107.331,11,-10.511,0,237787,4
28,Cam,Burning House,2zhk0kypGeOPsaaZcjyc14,0.728,0.253,0.887,1.11e-05,0.133,0.457,140.923,0,-8.427,1,231333,4
29,Demi Lovato,Confident,3DXXKDbbZKyAZfNb96ST3q,0.594,0.749,0.00188,0.000139,0.0869,0.344,130.064,3,-6.251,1,205746,4
30,Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,0.0244,0,0.354,0.817,148.075,7,-3.803,1,222093,4
31,One Direction,Perfect,3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,0.0598,0,0.119,0.396,99.933,2,-5.231,1,230333,4
32,Ariana Grande,Focus,1cdzfFjEbUbgTm5nv3FgXR,0.671,0.876,0.266,0,0.444,0.8,100.016,6,-6.034,1,211360,4
33,Sam Hunt,Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,0.579,0.776,0.0749,0,0.239,0.434,136.044,8,-5.365,1,229880,4
34,Future Featuring Drake,Where Ya At,5nN8BwAQDJDguq7Dpd3JQQ,0.813,0.453,0.0933,0,0.14,0.191,161.997,1,-6.941,1,208027,4
35,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,0.692,0.521,0.301,0,0.0565,0.463,100.45,10,-8.465,0,292987,4
36,R. City Featuring Adam Levine,Locked Away,7x5xYW5W42OGPAdHUyyguy,0.509,0.671,0.304,0,0.0452,0.55,118.413,1,-5.709,1,227480,5
37,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,0.614,0,0.505,0.898,67.196,8,-8.749,1,126267,4
38,Skrillex & Diplo With Justin Bieber,Where Are U Now,1CjiAOoegmUDgbhKzAqSkl,0.451,0.876,0.0227,0.0999,0.104,0.353,139.908,7,-5.378,1,216339,4
39,G-Eazy x Bebe Rexha,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,0.756,0.674,0.0184,0,0.158,0.389,111.995,0,-6.518,0,251467,4
40,Daya,Hide Away,0uyZ5ckiIUbFZd3P6RWmrj,0.885,0.8,0.23,1.99e-06,0.0734,0.464,95.018,11,-4.714,0,192376,4
41,Wiz Khalifa Featuring Charlie Puth,See You Again,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,0.369,1.03e-06,0.0649,0.283,80.025,10,-7.503,1,229526,4
42,Selena Gomez Featuring A$AP Rocky,Good For You,578Eooad7oUyn4stovZiPg,0.607,0.673,0.181,0,0.069,0.215,88.952,5,-6.484,0,221280,4
