Date,Title,Artist,Rank,Is_New,Image,Peak_Posistion,Last_Position,Weeks
2016-01-02,Hello,Adele,1,False,,1,1,8
2016-01-02,Sorry,Justin Bieber,2,False,,2,2,8
2016-01-02,Hotline Bling,Drake,3,False,,2,3,20
2016-01-02,Love Yourself,Justin Bieber,4,False,,4,5,5
2016-01-02,What Do You Mean?,Justin Bieber,5,False,,1,4,16
2016-01-02,Same Old Love,Selena Gomez,6,False,,6,9,14
2016-01-02,The Hills,The Weeknd,7,False,,1,6,30
2016-01-02,Here,Alessia Cara,8,False,,8,8,20
2016-01-02,Stitches,Shawn Mendes,9,False,,4,7,30
2016-01-02,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,10,False,,8,10,24
2016-01-02,679,Fetty Wap Featuring Remy Boyz,11,False,,4,11,25
2016-01-02,In The Night,The Weeknd,12,False,,12,19,6
2016-01-02,Jumpman,Drake & Future,13,False,,12,14,13
2016-01-02,On My Mind,Ellie Goulding,14,False,,13,13,13
2016-01-02,Can't Feel My Face,The Weeknd,15,False,,1,15,28
2016-01-02,Antidote,Travis Scott,16,False,,16,16,15
2016-01-02,Ex's & Oh's,Elle King,17,False,,10,12,24
2016-01-02,All I Want For Christmas Is You,Mariah Carey,18,False,,18,22,13
2016-01-02,Stressed Out,twenty one pilots,19,False,,19,28,13
2016-01-02,Don't,Bryson Tiller,20,False,,20,20,12
2016-01-02,Die A Happy Man,Thomas Rhett,21,False,,21,25,13
2016-01-02,White Iverson,Post Malone,22,False,,22,23,15
2016-01-02,Wildest Dreams,Taylor Swift,23,False,,5,18,17
2016-01-02,Mary Did You Know,Jordan Smith,24,True,,24,0,1
2016-01-02,Lean On,Major Lazer & DJ Snake Featuring MO,25,False,,4,17,37
2016-01-02,Roses,The Chainsmokers Featuring Rozes,26,False,,26,29,9
2016-01-02,Watch Me,Silento,27,False,,3,26,43
2016-01-02,Say It,Tory Lanez,28,False,,28,30,9
2016-01-02,Burning House,Cam,29,False,,29,47,23
2016-01-02,Confident,Demi Lovato,30,False,,21,31,11
2016-01-02,Trap Queen,Fetty Wap,31,False,,2,27,48
2016-01-02,Perfect,One Direction,32,False,,10,32,9
2016-01-02,Focus,Ariana Grande,33,False,,7,24,7
2016-01-02,Break Up In A Small Town,Sam Hunt,34,False,,32,34,11
2016-01-02,Where Ya At,Future Featuring Drake,35,False,,28,35,22
2016-01-02,No Role Modelz,J. Cole,36,False,,36,37,18
2016-01-02,Locked Away,R. City Featuring Adam Levine,37,False,,6,33,22
2016-01-02,Rockin' Around The Christmas Tree,Brenda Lee,38,False,,14,44,14
2016-01-02,Where Are U Now,Skrillex & Diplo With Justin Bieber,39,False,,8,38,42
2016-01-02,"Me, Myself & I",G-Eazy x Bebe Rexha,40,False,,36,36,7
2016-01-02,Hide Away,Daya,41,False,,41,48,13
2016-01-02,See You Again,Wiz Khalifa Featuring Charlie Puth,42,False,,1,41,41
2016-01-02,Good For You,Selena Gomez Featuring A$AP Rocky,43,False,,5,40,26
2016-01-02,Adventure Of A Lifetime,Coldplay,44,False,,39,39,6
2016-01-02,Again,Fetty Wap,45,False,,33,42,19
2016-01-02,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,46,False,,46,52,5
2016-01-02,Cake By The Ocean,DNCE,47,False,,47,63,9
2016-01-02,Exchange,Bryson Tiller,48,False,,48,53,8
2016-01-02,Cheerleader,OMI,49,False,,1,43,35
2016-01-02,Drag Me Down,One Direction,50,False,,3,46,20
2016-01-02,My House,Flo Rida,51,False,,51,55,6
2016-01-02,Hit The Quan,iLoveMemphis,52,False,,15,45,18
2016-01-02,Back Up,DeJ Loaf Featuring Big Sean,53,False,,47,49,11
