Date,Title,Artist,Rank,IsNew
2020-01-04,All I Want For Christmas Is You,Mariah Carey,1,False
2020-01-04,Rockin' Around The Christmas Tree,Brenda Lee,2,False
2020-01-04,Jingle Bell Rock,Bobby Helms,3,False
2020-01-04,A Holly Jolly Christmas,Burl Ives,4,False
2020-01-04,Circles,Post Malone,5,False
2020-01-04,Roxanne,Arizona Zervas,6,False
2020-01-04,It's The Most Wonderful Time Of The Year,Andy Williams,7,False
2020-01-04,Someone You Loved,Lewis Capaldi,8,False
2020-01-04,Memories,Maroon 5,9,False
2020-01-04,Good As Hell,Lizzo,10,False
2020-01-04,Last Christmas,Wham!,11,False
2020-01-04,Feliz Navidad,Jose Feliciano,12,False
2020-01-04,The Box,Roddy Ricch,13,False
2020-01-04,Dance Monkey,Tones And I,14,False
2020-01-04,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,15,False
2020-01-04,The Christmas Song (Merry Christmas To You),Nat King Cole,16,False
2020-01-04,"10,000 Hours",Dan + Shay & Justin Bieber,17,False
2020-01-04,Lose You To Love Me,Selena Gomez,18,False
2020-01-04,Ballin',Mustard & Roddy Ricch,19,False
2020-01-04,BOP,DaBaby,20,False
2020-01-04,Sleigh Ride,The Ronettes,21,False
2020-01-04,Rudolph The Red-Nosed Reindeer,Gene Autry,22,False
2020-01-04,Bad Guy,Billie Eilish,23,False
2020-01-04,Happy Holiday / The Holiday Season,Andy Williams,24,False
2020-01-04,No Guidance,Chris Brown Featuring Drake,25,False
2020-01-04,Senorita,Shawn Mendes & Camila Cabello,26,False
2020-01-04,Bandit,Juice WRLD & YoungBoy Never Broke Again,27,False
2020-01-04,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,28,False
2020-01-04,Christmas (Baby Please Come Home),Darlene Love,29,False
2020-01-04,Panini,Lil Nas X,30,False
2020-01-04,Underneath The Tree,Kelly Clarkson,31,False
2020-01-04,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,32,False
2020-01-04,Hot,Young Thug Featuring Gunna,33,False
2020-01-04,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,34,False
2020-01-04,Truth Hurts,Lizzo,35,False
2020-01-04,Run Rudolph Run,Chuck Berry,36,False
2020-01-04,(There's No Place Like) Home For The Holidays,Perry Como,37,False
2020-01-04,HIGHEST IN THE ROOM,Travis Scott,38,False
2020-01-04,Heartless,The Weeknd,39,False
2020-01-04,Blue Christmas,Elvis Presley,40,False
2020-01-04,Everything I Wanted,Billie Eilish,41,False
2020-01-04,White Christmas,Bing Crosby,42,False
2020-01-04,Jingle Bells,Frank Sinatra,43,False
2020-01-04,Like It's Christmas,Jonas Brothers,44,False
2020-01-04,Baby It's Cold Outside,Dean Martin,45,True
2020-01-04,Trampoline,SHAED,46,False
2020-01-04,Woah,Lil Baby,47,False
2020-01-04,Futsal Shuffle 2020,Lil Uzi Vert,48,False
2020-01-04,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,49,True
2020-01-04,Ran$om,Lil Tecca,50,False
2020-01-04,Falling,Trevor Daniel,51,False
2020-01-04,Don't Start Now,Dua Lipa,52,False
2020-01-04,Adore You,Harry Styles,53,False
2020-01-04,One Man Band,Old Dominion,54,False
2020-01-04,Hot Girl Bummer,blackbear,55,False
2020-01-04,Suicidal,YNW Melly & Juice WRLD,56,False
2020-01-04,Lover,Taylor Swift,57,False
2020-01-04,On Chill,Wale Featuring Jeremih,58,False
2020-01-04,Even Though I'm Leaving,Luke Combs,59,False
2020-01-04,No Idea,Don Toliver,60,False
2020-01-04,Graveyard,Halsey,61,False
2020-01-04,My Oh My,Camila Cabello Featuring DaBaby,62,False
2020-01-04,Juicy,Doja Cat & Tyga,63,False
2020-01-04,The Bones,Maren Morris,64,False
2020-01-04,Playing Games,Summer Walker,65,False
2020-01-04,Heat,Chris Brown Featuring Gunna,66,False
2020-01-04,Into The Unknown,Idina Menzel & AURORA,67,False
2020-01-04,VIBEZ,DaBaby,68,False
2020-01-04,Happy Xmas (War Is Over),John Legend,69,True
2020-01-04,Heart On Ice,Rod Wave,70,False
2020-01-04,What If I Never Get Over You,Lady Antebellum,71,False
2020-01-04,Blinding Lights,The Weeknd,72,False
2020-01-04,Ridin' Roads,Dustin Lynch,73,False
2020-01-04,Camelot,NLE Choppa,74,False
2020-01-04,Heartache Medication,Jon Pardi,75,False
2020-01-04,Start Wit Me,Roddy Ricch & Gunna,76,False
2020-01-04,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,77,False
2020-01-04,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",78,False
2020-01-04,Hate Me,Ellie Goulding & Juice WRLD,79,False
2020-01-04,Kinfolks,Sam Hunt,80,False
2020-01-04,Let Me Know (I Wonder Why Freestyle),Juice WRLD,81,False
2020-01-04,Remember You Young,Thomas Rhett,82,False
2020-01-04,Death,Trippie Redd Featuring DaBaby,83,False
2020-01-04,223's,YNW Melly & 9lokknine,84,False
2020-01-04,Slide,H.E.R. Featuring YG,85,True
2020-01-04,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,86,False
2020-01-04,Watermelon Sugar,Harry Styles,87,False
2020-01-04,Homesick,Kane Brown,88,False
2020-01-04,Slow Dancing In The Dark,Joji,89,False
2020-01-04,Easy,DaniLeigh Featuring Chris Brown,90,False
2020-01-04,Vete,Bad Bunny,91,False
2020-01-04,Baby Sitter,DaBaby Featuring Offset,92,False
2020-01-04,Nice To Meet Ya,Niall Horan,93,False
2020-01-04,Yellow Hearts,Ant Saunders,94,False
2020-01-04,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,95,False
2020-01-04,Candy,Doja Cat,96,False
2020-01-04,BEST ON EARTH,Russ & BIA,97,False
2020-01-04,Tusa,Karol G & Nicki Minaj,98,False
2020-01-04,Enemies,Post Malone Featuring DaBaby,99,False
2020-01-04,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,100,False
2020-01-11,Circles,Post Malone,1,False
2020-01-11,Memories,Maroon 5,2,False
2020-01-11,The Box,Roddy Ricch,3,False
2020-01-11,Someone You Loved,Lewis Capaldi,4,False
2020-01-11,Roxanne,Arizona Zervas,5,False
2020-01-11,Good As Hell,Lizzo,6,False
2020-01-11,Dance Monkey,Tones And I,7,False
2020-01-11,HIGHEST IN THE ROOM,Travis Scott,8,False
2020-01-11,"10,000 Hours",Dan + Shay & Justin Bieber,9,False
2020-01-11,Lose You To Love Me,Selena Gomez,10,False
2020-01-11,Senorita,Shawn Mendes & Camila Cabello,11,False
2020-01-11,Ballin',Mustard & Roddy Ricch,12,False
2020-01-11,BOP,DaBaby,13,False
2020-01-11,Bad Guy,Billie Eilish,14,False
2020-01-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15,False
2020-01-11,No Guidance,Chris Brown Featuring Drake,16,False
2020-01-11,Panini,Lil Nas X,17,False
2020-01-11,Truth Hurts,Lizzo,18,False
