Artist,Spotify_Artist,Track,Track_ID
The Weeknd,The Weeknd,Can't Feel My Face,not found
Bryson Tiller,Bryson Tiller,Don't,not found
G-Eazy x Bebe Rexha,G-Eazy x Bebe Rexha,"Me, Myself & I",not found
Justin Bieber,Justin Bieber,I'll Show You,not found
The Chainsmokers Featuring Daya,The Chainsmokers,Don't Let Me Down,not found
Jennifer Lopez,Jennifer Lopez,Ain't Your Mama,not found
Grace Featuring G-Eazy,Grace,You Don't Own Me,not found
Beyonce Featuring Jack White,Beyonce,Don't Hurt Yourself,not found
Kent Jones,Kent Jones,Don't Mind,not found
Justin Timberlake,Justin Timberlake,Can't Stop The Feeling!,not found
Nicky Jam,Nicky Jam,With You Tonight / Hasta El Amanecer,not found
Mike WiLL Made-It x Rihanna,Mike WiLL Made-It x Rihanna,Nothing Is Promised,not found
D.R.A.M. Featuring Lil Yachty,D.R.A.M.,Broccoli,not found
Kane Brown,Kane Brown,Ain't No Stopping Us Now,not found
Jennifer Lopez & Lin-Manuel Miranda,Jennifer Lopez,Love Make The World Go Round,not found
Enrique Iglesias Feat. Wisin or Tinashe & Javada,Enrique Iglesias Feat. Wisin or Tinashe,Duele El Corazon,not found
Young Thug And Travis Scott Featuring Quavo,Young Thug And Travis Scott,Pick Up The Phone,not found
Tucker Beathard,Tucker Beathard,Rock On,not found
Solange Featuring Sampha,Solange,Don't Touch My Hair,not found
Maroon 5 Featuring Kendrick Lamar,Maroon 5,Don't Wanna Know,not found
Zara Larsson,Zara Larsson,Ain't My Fault,not found
Machine Gun Kelly x Camila Cabello,Machine Gun Kelly x Camila Cabello,Bad Things,not found
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,My Sh*t,not found
Auli'i Cravalho,Auli'i Cravalho,How Far I'll Go,not found
Dwayne Johnson,Dwayne Johnson,You're Welcome,not found
Nicki Minaj X Mike WiLL Made-It,Nicki Minaj X Mike WiLL Made-It,Black Barbies,not found
Zayn / Taylor Swift,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),not found
Wham! Featuring George Michael,Wham!,Careless Whisper,not found
2 Chainz x Gucci Mane x Quavo,2 Chainz x Gucci Mane x Quavo,Good Drank,not found
Missy Elliott Featuring Lamb,Missy Elliott,I'm Better,not found
Kygo x Selena Gomez,Kygo x Selena Gomez,It Ain't Me,not found
Drake,Drake,Can't Have Everything,not found
Kendrick Lamar,Kendrick Lamar,The Heart Part 4,not found
Rag'n'Bone Man,Rag'n'Bone Man,Human,not found
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",DJ Khaled,I'm The One,not found
Bryson Tiller,Bryson Tiller,Don't Get Too High,not found
Martin Garrix x Troye Sivan,Martin Garrix x Troye Sivan,There For You,not found
DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,DJ Khaled,Don't Quit,not found
Cardi B,Cardi B,Bodak Yellow (Money Moves),not found
Jake Paul & Erika Costell Featuring Uncle Kade,Jake Paul,Jerika,not found
Descendants 2 Cast,Descendants 2 Cast,It's Goin' Down,not found
XXXTENTACION Featuring Trippie Redd,XXXTENTACION,F**k Love,not found
Blake Shelton,Blake Shelton,I'll Name The Dogs,not found
"Quavo, Takeoff & Offset","Quavo, Takeoff",Too Hotty,not found
Selena Gomez X Marshmello,Selena Gomez X Marshmello,Wolves,not found
21 Savage & Metro Boomin,21 Savage,My Choppa Hate N****s,not found
Natti Natasha x Ozuna,Natti Natasha x Ozuna,Criminal,not found
Ozuna x Cardi B,Ozuna x Cardi B,La Modelo,not found
Quavo & Lil Yachty,Quavo,Ice Tray,not found
Maluma X Nego do Borel,Maluma X Nego do Borel,Corazon,not found
Jacquees X Dej Loaf,Jacquees X Dej Loaf,At The Club,not found
Lin-Manuel Miranda & Ben Platt,Lin-Manuel Miranda,Found / Tonight,not found
Shawn Mendes X Zedd,Shawn Mendes X Zedd,Lost In Japan,not found
Ella Mai,Ella Mai,Boo'd Up,not found
Swae Lee Featuring Slim Jxmmi,Swae Lee,Guatemala,not found
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna",Te Bote,not found
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Pitbull x El Chombo x Karol G,Dame Tu Cosita,not found
Backstreet Boys,Backstreet Boys,Don't Go Breaking My Heart,not found
Drake,Drake,I'm Upset,not found
Kanye West Featuring PARTYNEXTDOOR,Kanye West,Wouldn't Leave,not found
Luke Combs,Luke Combs,Must've Never Met You,not found
Becky G + Natti Natasha,Becky G + Natti Natasha,Sin Pijama,not found
"2 Chainz, Drake & Quavo","2 Chainz, Drake",Bigger > You,not found
Iggy Azalea Feauring Tyga,Iggy Azalea Feauring Tyga,Kream,not found
Bebe Rexha,Bebe Rexha,I'm A Mess,not found
Travis Scott,Travis Scott,Can't Say,not found
H.E.R. Featuring Bryson Tiller,H.E.R.,Could've Been,not found
Nicki Minaj,Nicki Minaj,Ganja Burns,not found
"Labrinth, Sia & Diplo Present... LSD","Labrinth, Sia",Thunderclouds,not found
Ozuna x Manuel Turizo,Ozuna x Manuel Turizo,Vaina Loca,not found
Silk City x Dua Lipa,Silk City x Dua Lipa,Electricity,not found
Gucci Mane X Bruno Mars X Kodak Black,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,not found
Lil Wayne Featuring XXXTENTACION,Lil Wayne,Don't Cry,not found
Lil Wayne,Lil Wayne,Can't Be Broken,not found
Lil Wayne Featuring Snoop Dogg,Lil Wayne,Dope N****z,not found
Lady Gaga,Lady Gaga,I'll Never Love Again,not found
Metro Boomin Featuring 21 Savage,Metro Boomin,Don't Come Out The House,not found
Ellie Goulding X Diplo Featuring Swae Lee,Ellie Goulding X Diplo,Close To Me,not found
21 Savage,21 Savage,Can't Leave Without It,not found
Alec Benjamin + Alessia Cara,Alec Benjamin + Alessia Cara,Let Me Down Slowly,not found
Lauv & Troye Sivan,Lauv,I'm So Tired...,not found
Summer Walker X Drake,Summer Walker X Drake,Girls Need Love,not found
Gunna Featuring Playboi Carti,Gunna,Same Yung N***a,not found
Pedro Capo X Farruko,Pedro Capo X Farruko,Calma,not found
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,Lil Peep,I've Been Waiting,not found
Mabel,Mabel,Don't Call Me Up,not found
Khalid x SAFE,Khalid x SAFE,Don't Pretend,not found
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,not found
ScHoolboy Q + Travis Scott,ScHoolboy Q + Travis Scott,CHopstix,not found
YG,YG,Stop Snitching,not found
Nicky Jam X Ozuna,Nicky Jam X Ozuna,Te Robare,not found
Lil Tecca,Lil Tecca,Ran$om,not found
Kygo X Whitney Houston,Kygo X Whitney Houston,Higher Love,not found
Chris Brown Featuring Justin Bieber & Ink,Chris Brown,Don't Check On Me,not found
"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie","Mustard featuring NAV, Playboi Carti",Baguettes In The Face,not found
"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter","Beyonce, SAINt JHN",Brown Skin Girl,not found
Drake,Drake,How About Now,not found
Swae Lee Featuring Drake,Swae Lee,Won't Be Late,not found
Post Malone,Post Malone,I'm Gonna Be,not found
YNW Melly & 9lokknine,YNW Melly,223's,not found
Lil Mosey x Gunna,Lil Mosey x Gunna,Stuck In A Dream,not found
Summer Walker Featuring Jhene Aiko,Summer Walker,I'll Kill You,not found
"Layton Greene, Lil Baby, City Girls & PnB Rock","Layton Greene, Lil Baby, City Girls",Leave Em Alone,not found
Moneybagg Yo X Megan Thee Stallion,Moneybagg Yo X Megan Thee Stallion,All Dat,not found
Black Eyed Peas X J Balvin,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),not found
Thurl Ravenscroft,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",not found
Garth Brooks & Blake Shelton,Garth Brooks,Dive Bar,not found
Khalid x Disclosure,Khalid x Disclosure,Know Your Worth,not found
