Artist,Spotify_Artist,Track,Track_ID
Adele,Adele,Hello,62PaSfnXSMyLshYJrlTuL3
Justin Bieber,Justin Bieber,Sorry,402qo6bnZJwCN1RUenyNuM
Drake,Drake,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7
Justin Bieber,Justin Bieber,Love Yourself,3dNcOt7h5DuBgahMkOrL1m
Justin Bieber,Justin Bieber,What Do You Mean?,4Vx8DGMNlFt6q3yxVoV8qK
Selena Gomez,Selena Gomez,Same Old Love,4osBVEN7mpxF82Bwfy44MS
The Weeknd,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB
Alessia Cara,Alessia Cara,Here,1wYZZtamWTQAoj8B812uKQ
Shawn Mendes,Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT
Meghan Trainor Featuring John Legend,Meghan Trainor,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW
Fetty Wap Featuring Remy Boyz,Fetty Wap,679,5NQbUaeTEOGdD6hHcre0dZ
The Weeknd,The Weeknd,In The Night,25KybV9BOUlvcnv7nN3Pyo
Drake & Future,Drake,Jumpman,27GmP9AWRs744SzKcpJsTZ
Ellie Goulding,Ellie Goulding,On My Mind,5a7NdkF09AfD0H607eiOkX
The Weeknd,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
Travis Scott,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq
Elle King,Elle King,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH
Mariah Carey,Mariah Carey,All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn
twenty one pilots,twenty one pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
Bryson Tiller,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC
Thomas Rhett,Thomas Rhett,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n
Post Malone,Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w
Taylor Swift,Taylor Swift,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw
Jordan Smith,Jordan Smith,Mary Did You Know,0Mfbc7b4veAMEiWOffph5q
Major Lazer & DJ Snake Featuring MO,Major Lazer,Lean On,1Lim1Py7xBgbAkAys3AGAG
The Chainsmokers Featuring Rozes,The Chainsmokers,Roses,3vv9phIu6Y1vX3jcqaGz5Z
Silento,Silento,Watch Me,5RIVoVdkDLEygELLCniZFr
Tory Lanez,Tory Lanez,Say It,2Gyc6e2cLxA5hoX1NOvYnU
Cam,Cam,Burning House,2zhk0kypGeOPsaaZcjyc14
Demi Lovato,Demi Lovato,Confident,3DXXKDbbZKyAZfNb96ST3q
Fetty Wap,Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ
One Direction,One Direction,Perfect,3NLnwwAQbbFKcEcV8hDItk
Ariana Grande,Ariana Grande,Focus,1cdzfFjEbUbgTm5nv3FgXR
Sam Hunt,Sam Hunt,Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71
Future Featuring Drake,Future,Where Ya At,5nN8BwAQDJDguq7Dpd3JQQ
J. Cole,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8
R. City Featuring Adam Levine,R. City,Locked Away,7x5xYW5W42OGPAdHUyyguy
Brenda Lee,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97
Skrillex & Diplo With Justin Bieber,Skrillex,Where Are U Now,1CjiAOoegmUDgbhKzAqSkl
G-Eazy x Bebe Rexha,G-Eazy x Bebe Rexha,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC
Daya,Daya,Hide Away,0uyZ5ckiIUbFZd3P6RWmrj
Wiz Khalifa Featuring Charlie Puth,Wiz Khalifa,See You Again,2JzZzZUQj3Qff7wapcbKjc
Selena Gomez Featuring A$AP Rocky,Selena Gomez,Good For You,578Eooad7oUyn4stovZiPg
Coldplay,Coldplay,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M
Fetty Wap,Fetty Wap,Again,3ESSGgWzRf1xvP7G5hHMhB
Shawn Mendes & Camila Cabello,Shawn Mendes,I Know What You Did Last Summer,7B201jmhlQoB7ENj8InAGz
DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC
Bryson Tiller,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN
OMI,OMI,Cheerleader,023OVLNzXhX0j7CxswUt6D
One Direction,One Direction,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G
Flo Rida,Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1
iLoveMemphis,iLoveMemphis,Hit The Quan,4OjuzM3rTWp3q60mEldNSF
DeJ Loaf Featuring Big Sean,DeJ Loaf,Back Up,0sr5LOMv4x0jmTYfe6oOvP
Missy Elliott Featuring Pharrell Williams,Missy Elliott,WTF (Where They From),7IAa7vUJ11STN7le8XaxsH
Adele,Adele,When We Were Young,7GgWAITsYJaRM3r50rfh5w
Emily Ann Roberts,Emily Ann Roberts,Burning House,4hgrcrkcaHtsdKU35RZyn6
Yo Gotti Featuring Nicki Minaj,Yo Gotti,Down In The DM,1LxKKYsJNPeBdOwdudsJzv
Brothers Osborne,Brothers Osborne,Stay A Little Longer,23EkfwUdsRIz7jAZIcC8gb
Justin Bieber,Justin Bieber,I'll Show You,0SNIAtRCPVVLoGEPcuHSIc
Charlie Puth,Charlie Puth,One Call Away,7soJgKhQTO8hLP2JPRkL5O
Luke Bryan Featuring Karen Fairchild,Luke Bryan,Home Alone Tonight,0RE8WWlaCQM6M4XHUK3u7b
Selena Gomez,Selena Gomez,Hands To Myself,5EAzCBzEWjYxV8KUqxmTMl
Blake Shelton,Blake Shelton,Gonna,57gS5wJqIH6sbtBIIiioNY
Chris Brown,Chris Brown,Back To Sleep,6dlpABcXrQKRU9G00i6Zba
Nelly Featuring Jeremih,Nelly,The Fix,33QRsLBBdWDYgCZfWEZqR6
Jason Aldean,Jason Aldean,Gonna Know We Were Here,0mMR63GfhjpxT02rIdq5Mz
Gwen Stefani,Gwen Stefani,Used To Love You,7dhB1xznh2bbCWrFjCSH5x
DLOW,DLOW,Do It Like Me,0z9hbAY5d0RhmvZr3DWMPK
Cole Swindell,Cole Swindell,You Should Be Here,63thx7OANplv4I4BQsanHk
Drake & Future,Drake,Big Rings,7jslhIiELQkgW9IHeYNOWE
Jana Kramer,Jana Kramer,I Got The Boy,6tbNaE7kvGNqS7FvJ0dzLB
Jordan Smith,Jordan Smith,Climb Every Mountain,6GtMaEfcLyzwfglzSlqzyX
LOCASH,LOCASH,I Love This Life,21jkhW2773dELgTMRJcMfI
Drake,Drake,Back To Back,5lFDtgWsjRJu8fPOAyJIAK
Rudimental Featuring Ed Sheeran,Rudimental,Lay It All On Me,38ismoqQYn75ruDSQ2Jtx8
Tim McGraw,Tim McGraw,Top Of The World,4pdoeoOQSu6DNznlfNc5FP
Rachel Platten,Rachel Platten,Stand By You,3kSXn1osC89W8JcPLozTzs
Young Thug,Young Thug,Best Friend,33JcUj9qQDayKswunZP9ar
Fall Out Boy,Fall Out Boy,Irresistible,3znPiywA0q1VK2jgAZFDoI
Halsey,Halsey,New Americana,6Xs7OKt6i0Ddq8B4M5Dgvr
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,Lil Dicky,$ave Dat Money,1TkWsnheqK0gBtvh07BtNX
Justin Bieber Featuring Halsey,Justin Bieber,The Feeling,7E390nZTMqEbrNC1TmHd42
Ty Dolla $ign Featuring Future & Rae Sremmurd,Ty Dolla $ign,Blase,2NAZcL9tLUkdMMb5v3xFVG
Rae Sremmurd,Rae Sremmurd,Come Get Her,1Ser4X0TKttOvo8bgdytTP
Dan + Shay,Dan + Shay,Nothin' Like You,4W38RXuQNuoTSwVsQA1OGC
